t, hrl, hpl, kl, wl, hrl_fb, hpl_fb, kl_fb, wl_fb
0.504,0.0290656,0.420191,-0.327898,0,0.0528449,0.383567,-0.584783,-0.313196
0.506,0.0290656,0.420191,-0.327898,0,0.0528148,0.383655,-0.584572,-0.311498
0.508,0.0290656,0.420191,-0.327898,0,0.0527876,0.383725,-0.584354,-0.309726
0.51,0.0290656,0.420191,-0.327898,0,0.0527636,0.383781,-0.584129,-0.307884
0.512,0.0290656,0.420191,-0.327898,0,0.052743,0.383824,-0.583897,-0.305973
0.514,0.0290656,0.420191,-0.327898,0,0.0527253,0.383856,-0.583659,-0.303996
0.516,0.0290656,0.420191,-0.327898,0,0.0527101,0.38388,-0.583415,-0.301954
0.518,0.0290656,0.420191,-0.327898,0,0.0526969,0.383896,-0.583163,-0.299848
0.52,0.0290656,0.420191,-0.327898,0,0.0526854,0.383903,-0.582905,-0.297677
0.522,0.0271643,0.40161,-0.31964,0,0.0526754,0.383902,-0.58264,-0.295443
0.524,0.0271643,0.40161,-0.31964,0,0.0526626,0.383878,-0.582364,-0.293126
0.526,0.0271643,0.40161,-0.31964,0,0.052644,0.383817,-0.582074,-0.290706
0.528,0.0271643,0.40161,-0.31964,0,0.0526209,0.383734,-0.581783,-0.28822
0.53,0.0271643,0.40161,-0.31964,0,0.052595,0.383657,-0.581512,-0.285738
0.532,0.0271643,0.40161,-0.31964,0,0.0525669,0.383584,-0.581257,-0.283257
0.534,0.0271643,0.40161,-0.31964,0,0.052537,0.383513,-0.581015,-0.280774
0.536,0.0271643,0.40161,-0.31964,0,0.0525058,0.383444,-0.580784,-0.27829
0.538,0.0271643,0.40161,-0.31964,0,0.0524736,0.383377,-0.58056,-0.275801
0.54,0.0271643,0.40161,-0.31964,0,0.0524406,0.383312,-0.580343,-0.273306
0.542,0.0223002,0.417762,-0.319139,0,0.0524072,0.383249,-0.580128,-0.270804
0.544,0.0223002,0.417762,-0.319139,0,0.0523736,0.383193,-0.579918,-0.26829
0.546,0.0223002,0.417762,-0.319139,0,0.05234,0.383147,-0.579712,-0.265762
0.548,0.0223002,0.417762,-0.319139,0,0.0523064,0.38311,-0.579508,-0.263215
0.55,0.0223002,0.417762,-0.319139,0,0.0522731,0.383079,-0.579304,-0.260649
0.552,0.0223002,0.417762,-0.319139,0,0.0522401,0.383055,-0.5791,-0.258059
0.554,0.0223002,0.417762,-0.319139,0,0.0522074,0.383035,-0.578895,-0.255446
0.556,0.0223002,0.417762,-0.319139,0,0.0521751,0.383019,-0.578687,-0.252807
0.558,0.0223002,0.417762,-0.319139,0,0.0521433,0.383007,-0.578475,-0.25014
0.56,0.0223002,0.417762,-0.319139,0,0.052112,0.382997,-0.57826,-0.247444
0.562,0.0174122,0.410871,-0.324761,0,0.0520813,0.382989,-0.57804,-0.244718
0.564,0.0174122,0.410871,-0.324761,0,0.0520505,0.38298,-0.577815,-0.241945
0.566,0.0174122,0.410871,-0.324761,0,0.0520193,0.382964,-0.577586,-0.239111
0.568,0.0174122,0.410871,-0.324761,0,0.0519876,0.382942,-0.577352,-0.236217
0.57,0.0174122,0.410871,-0.324761,0,0.0519556,0.382916,-0.577112,-0.233262
0.572,0.0174122,0.410871,-0.324761,0,0.0519233,0.382886,-0.576867,-0.230246
0.574,0.0174122,0.410871,-0.324761,0,0.0518907,0.382853,-0.576615,-0.227168
0.576,0.0174122,0.410871,-0.324761,0,0.0518578,0.382817,-0.576358,-0.224028
0.578,0.0174122,0.410871,-0.324761,0,0.0518249,0.382778,-0.576094,-0.220825
0.58,0.0174122,0.410871,-0.324761,0,0.0517917,0.382739,-0.575824,-0.217559
0.582,0.0172462,0.410881,-0.318572,0,0.0517585,0.382699,-0.575548,-0.214228
0.584,0.0172462,0.410881,-0.318572,0,0.0517268,0.38264,-0.575261,-0.210824
0.586,0.0172462,0.410881,-0.318572,0,0.0516982,0.382548,-0.57496,-0.207336
0.588,0.0172462,0.410881,-0.318572,0,0.0516727,0.382425,-0.574646,-0.203766
0.59,0.0172462,0.410881,-0.318572,0,0.0516501,0.382276,-0.574319,-0.200114
0.592,0.0172462,0.410881,-0.318572,0,0.0516301,0.382102,-0.573979,-0.19638
0.594,0.0172462,0.410881,-0.318572,0,0.0516121,0.381905,-0.573626,-0.192565
0.596,0.0172462,0.410881,-0.318572,0,0.0515963,0.381687,-0.573261,-0.188668
0.598,0.0172462,0.410881,-0.318572,0,0.0515826,0.38145,-0.572883,-0.184689
0.6,0.0172462,0.410881,-0.318572,0,0.0515706,0.381225,-0.572527,-0.180688
0.602,0.0176443,0.393531,-0.315947,0,0.0515602,0.381026,-0.572205,-0.176693
0.604,0.0176443,0.393531,-0.315947,0,0.0515476,0.380832,-0.571907,-0.172682
